FECHA,TIMESTAMP,TIPO_VIAJERO,PUNTO_TURISTICO,RESIDENCIA,VIAJEROS,PERNOCTACIONES
2010-06-01,1275343200000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,4145,8381
2010-07-01,1277935200000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,9303,14733
2010-08-01,1280613600000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,12467,15962
2010-09-01,1283292000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,5620,11259
2010-10-01,1285884000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3583,7588
2010-11-01,1288566000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3029,7311
2010-12-01,1291158000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2566,5442
2011-01-01,1293836400000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2684,5589
2011-02-01,1296514800000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2583,5436
2011-03-01,1298934000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3389,7053
2011-04-01,1301608800000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3990,6912
2011-05-01,1304200800000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,4272,7741
2011-06-01,1306879200000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,5442,8200
2011-07-01,1309471200000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,9721,14263
2011-08-01,1312149600000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,11402,15659
2011-09-01,1314828000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,4344,8234
2011-10-01,1317420000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3675,7145
2011-11-01,1320102000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2989,6094
2011-12-01,1322694000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2638,5958
2012-01-01,1325372400000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2552,5856
2012-02-01,1328050800000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2464,6008
2012-03-01,1330556400000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2920,6993
2012-04-01,1333231200000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3591,7608
2012-05-01,1335823200000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,4682,9538
2012-06-01,1338501600000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,5721,11209
2012-07-01,1341093600000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,10195,18991
2012-08-01,1343772000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,12284,17604
2012-09-01,1346450400000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,5192,11197
2012-10-01,1349042400000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3810,7919
2012-11-01,1351724400000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3276,8492
2012-12-01,1354316400000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3053,7201
